Year,,Cruise,Signature,numerical month,Project Principals,Vessel,Cruise Dates,Months,Latitude,Longitude,Summary,New Themes,OER Focus Areas,Platforms,Mission Group,MEOW,OE_Link,OE_Link_Image,SOO,Overview,Archive,Direct,NCDDC_Link,AuthoritativeIDx,CruiseID,GISMapLayers,EEM,Lesson_Plans,EMC,Educ_Focus,Publications,Metadata
2001,NorthCarolinaShelf2001,North Carolina Shelf - Islands in the Stream,Yes,9,"Dr. Sylvia Earle, National Geographic Society (Principal Investigator)",R/V Seward Johnson II,"September 19 - 26, 2001",September,34.277832,-75.154602,"Scientists explored and studied three distinct systems in the South Atlantic Bight: the Point, the Lophelia Banks, and the Cape Fear Terrace.","habitat, corals, biodiv, sampling, subs",conshelf,"sewardjohnson, jsl",Islands in the Stream,warmnwatl,http://oceanexplorer.noaa.gov/explorations/islands01/islands01.html,ncs_2001.jpg,,,"Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocm64403670",,,,,,,,,,,
2001,SavannahScarp2001,Savannah Scarp - Islands in the Stream,Yes,9,"Dr. George Sedberry, South Carolina Department of Natural Resources (Principal Investigator)",R/V Seward Johnson II,"September 6 - 10, 2001",September,31.607239,-79.69458,"Scientists researched fish and reef habitats, conducted habitat characterizations, and collected deep water soft corals for DNA analysis.","habitat, corals, biodiv, sampling, subs",,"sewardjohnson, jsl",Islands in the Stream,warmnwatl,http://oceanexplorer.noaa.gov/explorations/islands01/islands01.html,ss_2001.jpg,,,"Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocm64403670",,,,,,,,,,,
2001,LLS2001,Laser Line Scan (LLS),No,11,"Mary Yoklavich, NMFS, Southwest Fisheries Science Center, Santa Cruz Laboratory (Principal Investigator) ; Churchill Grimes, NMFS, Southwest Fisheries Science Center, Santa Cruz Laboratory (Principal Investigator)",R/V Lake Guardian,November,November,36.05,-121.61,This system was field tested off the California coast.  It is an electro-optic imaging technique designed to provide the efficiency and spatial coverage of a remote survey system.,"newtech, mapping, habitat",,"lakeguardian, phantom",,coldnepac,http://oceanexplorer.noaa.gov/projects/laser01/laserlinescan.html,lls_2001.jpg,,,,,,,,,,,,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#laser_details,
2002,Aquarius2002,The Aquarius Habitat,No,0,,Aquarius Habitat,Year-round,Year round,25.12,-80.42,"NOAA's Aquarius Habitat is the only undersea laboratory dedicated to marine science operating in the world. Located 20 meters beneath the surface, Aquarius provides life support systems that allow scientists to live and work underwater with sophisticated research capabilities. Follow this link to learn about Aquarius projects that relate to the NOAA Office of Ocean Exploration.",,,aquarius,,tropnwatl,http://oceanexplorer.noaa.gov/projects/02aquarius/aquarius.html,ah_2002.jpg,,,,,,,,,,,,,,
2002,SanctuaryQuest2002,Sanctuary Quest,Yes,4,"Robert Steelquist, Olympic Coast National Marine Sanctuary (Principal Investigator); Mary Sue Brancato, Olympic Coast National Marine Sanctuary (Principal Investigator)",NOAA Ship McArthur,"April 24 - June 20, 2002",April-September,33.45,-119.1,"This quest focused on research, exploration, and monitoring within and adjacent to a system of national marine sanctuaries along the Pacific coast.","habitat, mapping, subs, arch, biodiv, canyon, corals, sampling, sound",mpa,"mcarthur, scuba, phantom",,warmnepac,http://oceanexplorer.noaa.gov/explorations/02quest/sanctuaryquest.html,sq_2002.jpg,,,"Physical, Chemical, and Biological Archive Collection; Get Data; National Oceanographic Data Center Archive Collection; http://accession.nodc.noaa.gov/72307 | Collection of Documents, Images, and Video Highlights (Cordell Bank); Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn276297872 | Collection of Documents, Images, and Video Highlights (Channel Islands); Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn298115963 | Collection of Documents, Images, and Video Highlights (Olympic Coast); Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn325288774 | Collection of Documents, Images, and Video Highlights (Gulf of the Farallones); Get Data; NOAA Central Library Cruise; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn436942416",,,,,,,,http://oceanexplorer.noaa.gov/explorations/02quest/background/edu/edu.html,,,
2002,DavidsonSeamount2002,Davidson Seamount,Yes,5,"Dr. Andrew DeVogelaere, Monterey Bay National Marine Sanctuary, NOAA (Principal Investigator); Dr. Gregor Cailliet, Moss Landing Marine Laboratories (Principal Investigator); Dr. Mario Tamburri, University of Maryland Center for Environmental Studies (Principal Investigator)",R/V Western Flyer,"May 17 - 24, 2002",May,35,-123,A team explored the California seamount with remotely operated vehicles. Extensive video surveying and biological sampling shed light on this little known undersea island.,"seamount, subs, sampling, corals, habitat, biodiv",mpa,"westernflyer, tiburon",Davidson Seamount,coldnepac,http://oceanexplorer.noaa.gov/explorations/02davidson/davidson.html,ds_2002.jpg,,,"Physical, Chemical, and Biological Archive Collection; Get Data; National Oceanographic Data Center Archive Collection; http://accession.nodc.noaa.gov/72306 | Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn820570487",,,,,,,,,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#davidson_details,
2002,GalapagosRift2002,Galapagos Rift,Yes,5,"Dr. Stephen Hammond, NOAA/OAR/OER (Principal Investigator); Dr. Timothy Shank, Woods Hole Oceanographic Institution (Principal Investigator)",R/V Atlantis,"May 24 - June 4, 2002",May-June,0,-89,Scientists returned to the site of deep-sea hydrothermal vents and their spectacular animal communities 25 years later.,"seep, habitat, volcano, subs, biodiv, chemo, sampling",intl,"alvin, atlantis, abe",,galapagos,http://oceanexplorer.noaa.gov/explorations/02galapagos/galapagos.html,gr_2002.jpg,,,"Multibeam Archive Collection; Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=eq&v_0=AT07L13&t=101378&s=8&d=70&d=75&d=76&d=74&d=73&d=72&d=81&d=82&d=85&d=86&d=79&no_data=suppress | Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn466128337",Woods Hole Oceanographic Institution Data Library and Archives; Open; WHOI Data Library and Archives Website; http://dla.whoi.edu/cruises/at7-13,,AT07L13,,,,,http://oceanexplorer.noaa.gov/explorations/02galapagos/background/education/education.html,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#grift_details,
2002,Sounds2002,Sound in the Sea - SIRENA,No,5,"Dr. Christopher Fox, Pacific Marine Environmental Laboratory, NOAA (Principal Investigator)",R/V Le Suroit,"May 17 - June 4, 2002",May-June,50,-30,Scientists sailed on the French research vessel Le Suroit to deploy six continuously recording hydrophones around the Mid-Atlantic Ridge north of the Azores.,"sound, newtech, volcano",,lesuroit,Sounds in the Sea,,http://oceanexplorer.noaa.gov/projects/02sirena/welcome.html,sits_2002.jpg,,,,,,,,,,,,,,
2002,LinkProject2002,The Link Project,No,5,"Andrew Shepard, National Undersea Research Center, UNCW (Principal Investigator)",,"May 20 - 22, 2002",May,28.58,-80.65,"The Link Project attempted to marry the missions and capabilities of NOAA and NASA by crossing boundaries to seek new approaches to ocean research, exploration, and discovery. Driven by successful results from a 2000 workshop, a working symposium for ocean and space technology innovation was held in May 2002 at the Kennedy Space Center, Florida.",newtech,,,,warmnwatl,http://oceanexplorer.noaa.gov/projects/link02/link02.html,LinkProj_2002.jpg,,,,,,,,,,,,,,
2002,GOM2002,Chemosynthetic Life in the Gulf of Mexico,Yes,6,"Dr. Charles Fisher, Pennsylvania State University (Principal Investigator); Dr. Patty Sobecky, Georgia Institute of Technology (Principal Investigator); Dr. Craig Young, University of Oregon (Principal Investigator)",R/V Seward Johnson II,"June 15 - 30, 2002; July 2 - 23, 2002; October 6 - 19, 2002",June-October,28.75,-89.5,An exploration team explored and studied the communities of animals found around deep-sea oil seeps to improve our understanding of the lush habitats that thrive in the absence of sunlight.,"seep, habitat, chemo, corals, subs, biodiv, sampling, newtech, micro",gom,"sewardjohnson, jsl",,warmnwatl,http://oceanexplorer.noaa.gov/explorations/02mexico/welcome.html,gm_2002.jpg,,,,,,,,,,http://oceanexplorer.noaa.gov/explorations/02mexico/background/edu/media/gom_lessons.html,http://oceanexplorer.noaa.gov/explorations/02mexico/background/edu/education.html,http://oceanexplorer.noaa.gov/edu/guide/welcome.html,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#gmexico_details,
2002,GOA2002,Exploring Alaska's Seamounts,Yes,6,"Dr. Bradley Stevens, National Marine Fisheries Service (Principal Investigator); Dr. Randy Keller, Oregon State University (Principal Investigator)",R/V Atlantis,"June 22 - July 15, 2002",June-July,50,-142,The mission studied several unexplored seamounts in the Gulf of Alaska to understand how they formed and determine their volcanic history.,"seamount, volcano, mapping, subs, biodiv, micro, corals",arctic,"alvin, atlantis",,coldnepac,http://oceanexplorer.noaa.gov/explorations/02alaska/welcome.html,als_2002.jpg,,,"Multibeam Archive Collection (AT07L15); Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=eq&v_0=AT07L15&t=101378&s=8&d=70&d=75&d=76&d=74&d=73&d=72&d=81&d=82&d=85&d=86&d=79&no_data=suppress | Multibeam Archive Collection (AT07L16); Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=eq&v_0=AT07L16&t=101378&s=8&d=70&d=75&d=76&d=74&d=73&d=72&d=81&d=82&d=85&d=86&d=79&no_data=suppress | Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn232154662",Academic Fleet R2R Data Management; Open; Academic Fleet Rolling Deck to Repository Data Management Website; http://www.rvdata.us/catalog/AT7-15 | Woods Hole Oceanographic Institution Data Library and Archives; Open; WHOI Data Library and Archives Website; http://dla.whoi.edu/cruises/at7-15 | Woods Hole Oceanographic Institution Data Library and Archives; Open; WHOI Data Library and Archives Website; http://dla.whoi.edu/cruises/at7-16,,AT07L15; AT07L16,,,,,http://oceanexplorer.noaa.gov/explorations/02alaska/background/edu/education.html,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#exploring_details,
2002,Monitor2002,Monitor Expedition,Yes,6,"Dr. John Broadwater, Monitor National Marine Sanctuary, NOAA (Principal Investigator)",R/V Seward Johnson,"June 24 - December, 2002",June-October,35,-75,The final phase of a multi-year effort to recover this famous Civil War ironclad leads to the difficult recovery of the revolving gun turret and two 11-inch Dahlgren cannons.,"arch, diving, subs",mpa,"sewardjohnson, jsl, scuba",,warmnwatl,http://oceanexplorer.noaa.gov/explorations/02monitor/monitor.html,me_2002.jpg,,,,,,,,,,,,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#monitor_details,
2002,SROF2002,Submarine Ring of Fire,Yes,6,"Dr. Robert Embley, Pacific Marine Environmental Laboratory, NOAA (Principal Investigator); Dr. Ed Baker, Pacific Marine Environmental Laboratory, NOAA (Principal Investigator)",R/V Thomas G. Thompson,"June 28 - July 11, 2002; July 23 - August 05, 2002",June-August,49.75,-130.25,An interdisciplinary exploration team used new technology to investigate the birth of new ocean crust off the coast of western North America.,"newtech, mapping, volcano, subs, seep, micro",intl,"thompson, ropos, abe",Ring of Fire,tropnwpac,http://oceanexplorer.noaa.gov/explorations/02fire/welcome.html,srof_2002.jpg,,,Multibeam Archive Collection; Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=eq&v_0=NEW685&t=101378&s=8&d=70&d=75&d=76&d=74&d=73&d=72&d=81&d=82&d=85&d=86&d=79&no_data=suppress,,,TN149,,,,,http://oceanexplorer.noaa.gov/explorations/02fire/background/education/education.html,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#submarine_details,
2002,COML2002,Census of Marine Life,No,7,,,"July 15 - August 15, 2002;  November 1 - 15, 2002; February 2003; Summer 2003","July-August, November",45.84,-127.17,"The Census of Marine Life (CoML) was an international research effort that strived to assess and explain the diversity, distribution and abundance of marine organisms throughout the world's oceans. The initiative grew out of the need to better understand the oceans and how they are changing, as well as the implications of these changes on human life and our marine resources. Three CoML expeditions were funded by OE in 2002.","habitat, biodiv, seamount",,,,coldnepac,http://oceanexplorer.noaa.gov/projects/02census/welcome.html,coml_2002.jpg,,,"Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn824752551",,,,,,,,,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#census_details,
2002,IIS2002DeepReefs,"Characterization of Deep Reef Habitat, with Particular Emphasis on Discovery, Exploration and Description of Reef Fish Spawning Sites - Islands in the Stream",Yes,7,"Dr. George Sedberry, South Carolina Department of Natural Resources (Principal Investigator)",R/V Seward Johnson,"July 27 - August 5, 2002",July-August,29.915771,-80.246582,"Scientists explored the spawning locations and behavior of economically valuable reef fishes, such as snappers, groupers, and porgies.","habitat, biodiv, corals, subs, sampling",conshelf,"sewardjohnson, jsl",Islands in the Stream,"warmnwatl, tropnwatl",http://oceanexplorer.noaa.gov/explorations/02sab/welcome.html,iis02_01sed.jpg,,,"Collection of Documents, Images, and Video Highlights (Collection); Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocm52123061 | Collection of Documents, Images, and Video Highlights (MiniDV); Get Data; NOAA Central Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocm61124589",,,iis02_01sed,iis02_01sed,Ship Track;OECruiseData;9;2002ST.jpg|Dive Locations;OECruiseData;5;2002D.jpg|Non-Dive Locations;OECruiseData;6;2002ND.jpg,,,http://oceanexplorer.noaa.gov/explorations/02sab/background/edu/education.html,,,
2002,SSE2002,The Sustainable Seas Expeditions,No,7,"Dr. Sylvia Earle, National Geographic Society (Principal Investigator)",NOAA Ship Gordon Gunter,"July 14 - August 15, 2002",July-August,24.5,-82.5,This was a five-year project of underwater exploration and discovery of the marine world with special emphasis on the National Marine Sanctuaries of the United States.,"habitat, subs, corals, mapping",mpa,"deepworker, deeprover, oceanproject",,tropnwatl,http://oceanexplorer.noaa.gov/projects/02sse/welcome.html,sse_2002.jpg,,,,,,,,,,,,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#sustainable_details,
2002,Arctic2002,Arctic Expedition,Yes,8,"Dr. Kathleen Crane, NOAA Office of Arctic Research (Expedition Coordinator)",CCGS Louis St. Laurent; CCGS Sir Wilfrid Laurier; R/V Mirai,"August 15 - September 8, 2002",August-September,72.15,-136.05,"An international team explored the frigid depths of the remote Canada Basin, located in the Arctic Ocean.  Due to the heavy year-round ice cover of the region, this expedition was the first of its kind.","micro, biodiv, sampling, habitat, subs",arctic,"laurier, mirai, global",,arctic,http://oceanexplorer.noaa.gov/explorations/02arctic/welcome.html,ae_2002.jpg,,,"Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn171292073",,,,,,,,http://oceanexplorer.noaa.gov/explorations/02arctic/background/education/education.html,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#arctic_details,
2002,LewisClark2002,Continuing the Lewis and Clark Legacy,No,8,"Dr. Waldo Wakefield, National Marine Fisheries Service, NOAA (Principal Investigator); Susan Merle, Pacific Marine Environmental Laboratory, NOAA (Principal Investigator); Dr. Robert Embley, Pacific Marine Environmental Laboratory, NOAA (Principal Investigator); Dr. Chris Goldfinger, Oregon State University (Principal Investigator)",R/V Thomas G. Thompson,"August 5 - 15, 2002",August,44,-124.9,"Based on the exciting results of the mission from last year to Hecata Bank, an exploration team used modern tools to study the submerged ancient shorelines of the northwest coast.","arch, mapping",,thompson,Lewis and Clark,coldnepac,http://oceanexplorer.noaa.gov/projects/02lewis/welcome.html,lc_2002.jpg,,,,,,,,,,,,,,
2002,HudsonCanyon2002,Hudson Canyon,Yes,8,"Dr. Peter Rona, Rutgers University (Principal Investigator); Lisa Weiss, Jacques Cousteau National Estuarine Research Reserve (Principal Investigator)",NOAA Ship Ronald H. Brown,"August 27 - September 15, 2002",August-September,38.5,-71,"An exploration team mapped a significant portion of the slope and rise to the east and west of the Hudson Canyon, off New York and New Jersey.","canyon, mapping, seep, sampling",,ronbrown,,coldnwatl,http://oceanexplorer.noaa.gov/explorations/02hudson/welcome.html,hc_2002.jpg,,,,,,,,,,http://oceanexplorer.noaa.gov/explorations/02hudson/background/edu/media/hc_lessons.html,http://oceanexplorer.noaa.gov/explorations/02hudson/background/edu/education.html,,,
2002,IIS2002Carolinas,Exploration of Outer Shelf and Slope Habitats off the Carolinas  - Islands in the Stream,Yes,8,"Dr. Steve Ross, North Carolina Coastal Reserve (Principal Investigator); Liz Baird, North Carolina Museum of Natural Sciences (Principal Investigator); Fritz Rohde, North Carolina Division of Marine Fisheries (Principal Investigator); Dr. Kenneth Sulak, USGS (Principal Investigator)",R/V Seward Johnson,"August 5 - 15, 2002",August,33.423218,-77.718284,This mission explored two major types of unique and biologically productive habitats along the North Carolina coast.,"habitat, corals, biodiv, subs, sampling",,"sewardjohnson, jsl",Islands in the Stream,warmnwatl,http://oceanexplorer.noaa.gov/explorations/02sab/welcome.html,iis02_02ross.jpg,,,"Collection of Documents, Images, and Video Highlights (Collection); Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocm52123061 | Collection of Documents, Images, and Video Highlights (MiniDV); Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocm61124611",,,iis02_02ross,iis02_02ross,Ship Track;OECruiseData;15;2002ST.jpg|Dive Locations;OECruiseData;11;2002D.jpg|Non-Dive Locations;OECruiseData;12;2002ND.jpg,,,http://oceanexplorer.noaa.gov/explorations/02sab/background/edu/education.html,,,
